ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
852;T001628;2060130;2018JJ00;1103.9;239.4;518.2;131.9;76.9;0.42;1.69;2.9;229.9;564.5;83.5;76.5;61.3;88.2;229.9;400.6;332.2;141.1;229.9;407.6;344.8;121.6
853;T001628;2060130;2019JJ00;1114.1;247.2;563.2;147.6;87.9;0.4;1.65;2.81;227.2;614;87.1;72.1;48;65.5;227.2;425.4;328.1;133.4;227.2;433;341.2;112.7
854;T001628;2060130;2020JJ00;1119.1;249.3;598.9;147.8;87.8;0.39;1.64;2.8;226.7;652;85.3;65.1;38.7;51.3;226.7;429.8;325.4;137.2;226.7;440.7;337.8;113.8
855;A050412;1050010;2006JJ00;3234.7;149;271.6;;;0.54;;;0;2019.8;222.5;219.5;246.5;526.3;;;;;;;;
856;A050412;1050010;2007JJ00;3308.4;158.4;287.9;;;0.55;;;0;2041;239.8;256.1;293;478.5;;;;;;;;
857;A050412;1050010;2008JJ00;3386.4;167.8;299.7;;;0.57;;;0;2044.3;256.4;279.5;319.9;486.3;;;;;;;;
858;A050412;1050010;2009JJ00;3418.5;176.4;297;;;0.61;;;0;1943.1;256.3;272.1;306.1;640.8;;;;;;;;
859;A050412;1050010;2010JJ00;3455.4;180.7;277.5;;;0.68;;;0;1781.4;246;251.4;271.3;905.2;;;;;;;;
860;A050412;1050010;2011JJ00;3504.4;183.3;280.3;82.4;47.7;0.68;2.2;3.72;0;1791.6;255.5;264.8;285.6;906.9;0;1560.8;1438.3;505.4;0;1633.8;1446.2;424.4
861;A050412;1050010;2012JJ00;3565.5;186.5;266.8;83.4;47.8;0.74;2.22;3.79;0;1685;250.2;256.1;275;1099.2;0;1567.9;1478.8;518.8;0;1620.1;1506.9;438.5
